id,name,ears,furColor,eyeColor,dob,status,description,breed,regNum,mainImageSrcValue,isHidden,isAdminHidden,createdAt,updatedAt
1,Danissima,Straight,White,Yellow,December 15, 2019,Active,,Scottish Straight Highland,,/catPictures/damDanissima.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
2,Felisiya,Straight,Silver Chinchilla,Green,August 1st, 2019,Active,,Scottish Straight Shorthair,,/catPictures/damFelisiya.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
3,BumbleBee,Fold,Black Marble,Yellow,April 4th, 2017,Active,,Scottish Fold Shorthair,,/catPictures/damBumbleBee.jpg,true,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
4,Iris,Straight,Blue Gold Chinchilla,Green,August 3rd, 2020,Active,,Scottish Straight Shorthair,,/catPictures/damIris.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
5,Lucia,Straight,Black Van,Yellow,August 24th, 2020,Active,,Scottish Straight Shorthair,,/catPictures/damLucy.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
1,Finley,Straight,Silver Chinchilla Point,Blue,March 16th, 2022,Sold,,Scottish Straight Shorthair,,/catPictures/kittenFelisiyaFinley.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
2,Einstein,No Preference,,Green,,Sold,,Scottish Fold,,/catPictures/kittenFelisiyaEinstein.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
3,Frosty,No Preference,,Unknown,,Sold,,,,/catPictures/kittenFelisiyaFrosty.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
4,Freya,No Preference,,Unknown,,Sold,,,,/catPictures/kittenFelisiyaFreya.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
5,Sunny,No Preference,,Unknown,,Sold,,,,/catPictures/kittenFelisiyaSunny.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
6,Dew,Fold,Silver Shaded Chinchilla,Green,April 27th, 2022,Sold,,Scottish Fold Shorthair,,/catPictures/kittenDanissimaDew.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
7,Daiquiri,Straight,Silver Shaded Chinchilla,Green,April 27th, 2022,Available,,Scottish Straight Shorthair,,/catPictures/kittenDanissimaDaiquiri.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
8,Elsa,Straight,Silver Shaded Chinchilla,Green,April 27th, 2022,Sold,,Scottish Straight Shorthair,,/catPictures/kittenDanissimaElsa.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
